pro_com,comune,zona,data_inizio,data_fine,id_ordinanza,nro_ordinanza,data_ordinanza,PDF,nro_pgg,link_ordinanza,note
88011,Scicli,rossa,2021-03-16,2021-03-30,21-15032021,21,2021-03-15,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-21-15032021.pdf,
84027,Palma di Montechiaro,rossa,2021-03-16,2021-03-30,21-15032021,21,2021-03-15,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-21-15032021.pdf,
86016,Regalbuto,rossa,2021-03-18,2021-03-30,22-16032021,22,2021-03-16,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-22-16032021.pdf,
84041,Sciacca,rossa,2021-03-18,2021-03-30,22-16032021,22,2021-03-16,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-22-16032021.pdf,
84033,Ribera,rossa,2021-03-25,2021-04-06,24-23032021,24,2021-03-23,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,
87047,Santa Maria di Licodia,rossa,2021-03-25,2021-04-06,24-23032021,24,2021-03-23,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,
85018,Serradifalco,rossa,2021-03-25,2021-04-06,24-23032021,24,2021-03-23,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,
82073,Trabia,rossa,2021-03-25,2021-04-06,24-23032021,24,2021-03-23,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2024%20del%2023-03-2021pdf(firmato).pdf,
88001,Acate,rossa,2021-03-26,2021-04-06,25-24032021,25,2021-03-24,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2025%20del%2024%20marzo%202021(firmato).pdf,
86007,Centuripe,rossa,2021-03-27,2021-04-06,26-26032021,26,2021-03-26,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,
