comune,pro_com,provincia,dataInizio,dataFine,link_ordinanza,nro_data_ordinanza,proroga/cessa,PDF,nro_pgg,sovrapposizione,cessa,nro_ordinanza,data_ordinanza,area_kmq,pop_2020,note,zona
Castronovo di Sicilia,82025,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,201.04,2944,,
Bolognetta,82011,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,27.63,4138,,
Carini,82021,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,76.59,39185,,
Contessa Entellina,82033,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,136.48,1608,,
Altofonte,82005,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,35.44,10015,,
Alimena,82002,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,59.7,1915,,
San Mauro Castelverde,82065,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,114.37,1470,,
Santa Cristina Gela,82066,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,38.74,997,,
Castelbuono,82022,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,60.79,8485,,
Caltavuturo,82015,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,97.95,3768,,
Marineo,82046,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,33.22,6393,,
Campofelice di Fitalia,82016,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,35.46,473,,
Caccamo,82014,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,188.23,7997,,
Bisacquino,82010,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,64.97,4321,,
Balestrate,82007,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,6.43,6415,,
Altavilla Milicia,82004,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,23.78,8376,,
Giuliana,82039,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,24.14,1802,,
Giardinello,82038,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,12.88,2306,,
Monreale,82049,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,530.18,38963,,
Casteldaccia,82023,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,33.92,11682,,
Geraci Siculo,82037,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,113.35,1765,,
Mezzojuso,82047,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,49.25,2797,,
Ciminna,82030,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,56.42,3560,,
Campofiorito,82018,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,21.7,1209,,
Campofelice di Roccella,82017,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,14.51,7667,,
Borgetto,82013,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,26.02,7338,,
Bompietro,82012,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,42.41,1295,,
San Giuseppe Jato,82064,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,29.78,8375,,
San Cipirello,82063,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,20.85,5212,,
Cefalà Diana,82026,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,9.06,997,,
Scillato,82081,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,31.7,613,,
Ficarazzi,82035,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,3.53,13050,,
Montelepre,82050,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,9.89,6015,,
Aliminusa,82003,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,13.68,1138,,
Sciara,82068,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,31.19,2674,,
Torretta,82072,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,25.54,4319,,
Trappeto,82074,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,4.19,3102,,
Trabia,82073,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,22.08,10396,,
Lercara Friddi,82045,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,37.49,6626,,
Vicari,82078,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,85.95,2559,,
Piana degli Albanesi,82057,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,64.92,5924,,
Santa Flavia,82067,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,14.6,11181,,
Corleone,82034,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,229.45,10855,,
Castellana Sicula,82024,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,73.2,3200,,
Misilmeri,82048,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,69.49,29292,,
Bagheria,82006,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,29.84,54620,,
Petralia Sottana,82056,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,178.34,2593,,
Roccamena,82061,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,33.72,1429,,
Terrasini,82071,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,19.85,12676,,
Ustica,82075,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,8.24,1302,,
Blufi,82082,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,21.98,931,,
Sclafani Bagni,82069,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,134.9,397,,
Villabate,82079,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,3.8,19965,,
Montemaggiore Belsito,82051,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,32.08,3151,,
Cerda,82028,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,43.83,5079,,
Villafrati,82080,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,25.64,3271,,
Alia,82001,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,45.97,3510,,
Godrano,82040,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,39.2,1122,,
Belmonte Mezzagno,82009,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,29.29,11144,,
Baucina,82008,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,24.47,1915,,
Valledolmo,82076,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,25.78,3400,,
Gangi,82036,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,127.46,6464,,
Collesano,82032,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,108.16,3858,,
Ventimiglia di Sicilia,82077,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,26.9,1869,,
Cinisi,82031,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,33.16,12240,,
Capaci,82020,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,6.12,11577,,
Camporeale,82019,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,38.72,3135,,
Pollina,82059,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,49.93,2891,,
Partinico,82054,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,108.06,31569,,
Termini Imerese,82070,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,76.69,25889,,
Palazzo Adriano,82052,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,130.1,1928,,
Palermo,82053,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,160.59,657960,,
Polizzi Generosa,82058,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,134.66,3112,,
Prizzi,82060,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,95.04,4508,,
Roccapalumba,82062,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,31.57,2385,,
Petralia Soprana,82055,Palermo,2021-04-11,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2038%20del%209%20aprile%202021.pdf,38-09042021,No,Immagine,6,,,38,2021-04-09,56.1,3120,,
Niscemi,85013,Caltanissetta,2021-04-14,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2039%20%20del%2012-04-2021(firmato).pdf,39-12042021,No,Testo,6,,,39,2021-04-12,96.82,26274,,
Ramacca,87037,Catania,2021-04-14,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2039%20%20del%2012-04-2021(firmato).pdf,39-12042021,No,Testo,6,,,39,2021-04-12,306.43,10765,,
Zafferana Etnea,87055,Catania,2021-04-14,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2039%20%20del%2012-04-2021(firmato).pdf,39-12042021,No,Testo,6,,,39,2021-04-12,76.87,9521,,
Canicattì,84011,Agrigento,2021-04-15,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2040%20del%2013%20aprile%202021.pdf,40-13042021,No,Testo,6,,,40,2021-04-13,91.86,35530,,
Favara,84017,Agrigento,2021-04-15,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2040%20del%2013%20aprile%202021.pdf,40-13042021,No,Testo,6,,,40,2021-04-13,83.62,31751,,
Rosolini,89016,Siracusa,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2040%20del%2013%20aprile%202021.pdf,40-13042021,Sì,Testo,6,,,40,2021-04-13,76.47,21122,,
Solarino,89018,Siracusa,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2040%20del%2013%20aprile%202021.pdf,40-13042021,Sì,Testo,6,,,40,2021-04-13,13.02,7885,,
Catenanuova,86006,Enna,2021-04-16,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,No,Immagine,7,,,41,2022-04-14,11.22,4636,,
Cerami,86008,Enna,2021-04-16,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,No,Immagine,7,,,41,2022-04-14,95.05,1916,,
Mussomeli,85012,Caltanissetta,2021-04-16,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,No,Immagine,7,,,41,2022-04-14,164.42,10262,,
Sant‘Alfio,87046,Catania,2021-04-16,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,No,Immagine,7,,,41,2022-04-14,25.86,1560,,
Biancavilla,87008,Catania,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,Sì,Immagine,7,,,41,2022-04-14,70.28,23668,,
Caltanissetta,85004,Caltanissetta,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,Sì,Immagine,7,,,41,2022-04-14,421.25,61331,,
Centuripe,86007,Enna,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,Sì,Immagine,7,,,41,2022-04-14,174.19,5272,,
